track_id,filename,title,composer,composer_full,opus,movement,movement_name,era,form,key_signature,tempo_marking,performer_id,performer_name,instrument,ensemble,recording_date,year_composed,duration_seconds,dataset_source,dataset_version,tags,difficulty_level,popular_rank
Chopin_Op010-04_007_20100611,Chopin_Op010-04_007_20100611-SMD.wav,Chopin Op010 - Movement 04,Chopin,Frédéric Chopin,Op010,04,,Romantic,,,,007,,Piano,,2010-06-11,,,SMD,,"romantic,piano,classical,chopin",,
Chopin_Op026No1_003_20100611,Chopin_Op026No1_003_20100611-SMD.wav,Polonaise No. 1 in C# minor,Chopin,Frédéric Chopin,Op026No1,,,Romantic,Polonaise,C# minor,,003,,Piano,,2010-06-11,,,SMD,,"romantic,piano,classical,chopin,polonaise",,
Chopin_Op026No2_005_20100611,Chopin_Op026No2_005_20100611-SMD.wav,Polonaise No. 2 in E-flat minor,Chopin,Frédéric Chopin,Op026No2,,,Romantic,Polonaise,,,005,,Piano,,2010-06-11,,,SMD,,"romantic,piano,classical,chopin,polonaise",,
Chopin_Op028-01_003_20100611,Chopin_Op028-01_003_20100611-SMD.wav,24 Preludes - Movement 01,Chopin,Frédéric Chopin,Op028,01,,Romantic,Prelude,,,003,,Piano,,2010-06-11,,,SMD,,"romantic,piano,classical,chopin,prelude",,
Chopin_Op028-03_003_20100611,Chopin_Op028-03_003_20100611-SMD.wav,24 Preludes - Movement 03,Chopin,Frédéric Chopin,Op028,03,,Romantic,Prelude,,,003,,Piano,,2010-06-11,,,SMD,,"romantic,piano,classical,chopin,prelude",,
Chopin_Op028-04_003_20100611,Chopin_Op028-04_003_20100611-SMD.wav,24 Preludes - Movement 04,Chopin,Frédéric Chopin,Op028,04,,Romantic,Prelude,,,003,,Piano,,2010-06-11,,,SMD,,"romantic,piano,classical,chopin,prelude",,
Chopin_Op028-11_003_20100611,Chopin_Op028-11_003_20100611-SMD.wav,24 Preludes - Movement 11,Chopin,Frédéric Chopin,Op028,11,,Romantic,Prelude,,,003,,Piano,,2010-06-11,,,SMD,,"romantic,piano,classical,chopin,prelude",,
Chopin_Op028-15_006_20100611,Chopin_Op028-15_006_20100611-SMD.wav,24 Preludes - Movement 15,Chopin,Frédéric Chopin,Op028,15,,Romantic,Prelude,,,006,,Piano,,2010-06-11,,,SMD,,"romantic,piano,classical,chopin,prelude",,
Chopin_Op028-17_005_20100611,Chopin_Op028-17_005_20100611-SMD.wav,24 Preludes - Movement 17,Chopin,Frédéric Chopin,Op028,17,,Romantic,Prelude,,,005,,Piano,,2010-06-11,,,SMD,,"romantic,piano,classical,chopin,prelude",,
Chopin_Op029_004_20100611,Chopin_Op029_004_20100611-SMD.wav,Impromptu No. 1 in A-flat major,Chopin,Frédéric Chopin,Op029,,,Romantic,,,,004,,Piano,,2010-06-11,,,SMD,,"romantic,piano,classical,chopin",,
Chopin_Op048No1_007_20100611,Chopin_Op048No1_007_20100611-SMD.wav,Nocturne No. 13 in C minor,Chopin,Frédéric Chopin,Op048No1,,,Romantic,Nocturne,C minor,,007,,Piano,,2010-06-11,,,SMD,,"romantic,piano,classical,chopin,nocturne",,
Chopin_Op066_006_20100611,Chopin_Op066_006_20100611-SMD.wav,Fantaisie-Impromptu in C# minor,Chopin,Frédéric Chopin,Op066,,,Romantic,,C# minor,,006,,Piano,,2010-06-11,,,SMD,,"romantic,piano,classical,chopin",,
Haydn_Hob017No4_003_20090916,Haydn_Hob017No4_003_20090916-SMD.wav,"String Quartet Op. 17, No. 4",Haydn,Franz Joseph Haydn,Hob017No4,,,Classical,,,,003,,Piano,,2009-09-16,,,SMD,,"classical,piano,classical,haydn",,
Haydn_HobXVINo52-01_008_20110315,Haydn_HobXVINo52-01_008_20110315-SMD.wav,Piano Sonata No. 52 in E-flat major - Movement 01,Haydn,Franz Joseph Haydn,HobXVINo52,01,,Classical,Sonata,,,008,,Piano,,2011-03-15,,,SMD,,"classical,piano,classical,haydn,sonata",,
Haydn_HobXVINo52-02_008_20110315,Haydn_HobXVINo52-02_008_20110315-SMD.wav,Piano Sonata No. 52 in E-flat major - Movement 02,Haydn,Franz Joseph Haydn,HobXVINo52,02,,Classical,Sonata,,,008,,Piano,,2011-03-15,,,SMD,,"classical,piano,classical,haydn,sonata",,
Haydn_HobXVINo52-03_008_20110315,Haydn_HobXVINo52-03_008_20110315-SMD.wav,Piano Sonata No. 52 in E-flat major - Movement 03,Haydn,Franz Joseph Haydn,HobXVINo52,03,,Classical,Sonata,,,008,,Piano,,2011-03-15,,,SMD,,"classical,piano,classical,haydn,sonata",,
Liszt_AnnesDePelerinage-LectureDante_002_20090916,Liszt_AnnesDePelerinage-LectureDante_002_20090916-SMD.wav,Liszt AnnesDePelerinage,Liszt,Franz Liszt,AnnesDePelerinage,LectureDante,,Romantic,,,,002,,Piano,,2009-09-16,,,SMD,,"romantic,piano,classical,liszt",,
Liszt_KonzertetuedeNo2LaLeggierezza_003_20090916,Liszt_KonzertetuedeNo2LaLeggierezza_003_20090916-SMD.wav,Trois études de concert: No. 2 'La leggierezza',Liszt,Franz Liszt,KonzertetuedeNo2LaLeggierezza,,,Romantic,Étude,,,003,,Piano,,2009-09-16,,,SMD,,"romantic,piano,classical,liszt,etude",,
Liszt_VariationenBachmotivWeinenKlagenSorgenZagen_001_20090916,Liszt_VariationenBachmotivWeinenKlagenSorgenZagen_001_20090916-SMD.wav,Liszt VariationenBachmotivWeinenKlagenSorgenZagen,Liszt,Franz Liszt,VariationenBachmotivWeinenKlagenSorgenZagen,,,Romantic,Variations,,,001,,Piano,,2009-09-16,,,SMD,,"romantic,piano,classical,liszt,variations",,
Mozart_KV265_006_20110315,Mozart_KV265_006_20110315-SMD.wav,"12 Variations on 'Ah vous dirai-je, Maman'",Mozart,Wolfgang Amadeus Mozart,KV265,,,Classical,Variations,,,006,,Piano,,2011-03-15,,,SMD,,"classical,piano,classical,mozart,variations",,
Mozart_KV398_002_20110315,Mozart_KV398_002_20110315-SMD.wav,Piano Sonata No. 12 in F major (fragment),Mozart,Wolfgang Amadeus Mozart,KV398,,,Classical,Sonata,F major,,002,,Piano,,2011-03-15,,,SMD,,"classical,piano,classical,mozart,sonata",,
Rachmaninoff_Op036-01_007_20110315,Rachmaninoff_Op036-01_007_20110315-SMD.wav,Piano Sonata No. 2 in B-flat minor - Movement 01,Rachmaninoff,Sergei Rachmaninoff,Op036,01,,Romantic,Sonata,,,007,,Piano,,2011-03-15,,,SMD,,"romantic,piano,classical,rachmaninoff,sonata",,
Rachmaninoff_Op036-02_007_20110315,Rachmaninoff_Op036-02_007_20110315-SMD.wav,Piano Sonata No. 2 in B-flat minor - Movement 02,Rachmaninoff,Sergei Rachmaninoff,Op036,02,,Romantic,Sonata,,,007,,Piano,,2011-03-15,,,SMD,,"romantic,piano,classical,rachmaninoff,sonata",,
Rachmaninoff_Op036-03_007_20110315,Rachmaninoff_Op036-03_007_20110315-SMD.wav,Piano Sonata No. 2 in B-flat minor - Movement 03,Rachmaninoff,Sergei Rachmaninoff,Op036,03,,Romantic,Sonata,,,007,,Piano,,2011-03-15,,,SMD,,"romantic,piano,classical,rachmaninoff,sonata",,
Rachmaninov_Op039No1_002_20090916,Rachmaninov_Op039No1_002_20090916-SMD.wav,"Étude-Tableau Op. 39, No. 1 in C minor",Rachmaninov,Sergei Rachmaninoff,Op039No1,,,Romantic,Étude,C minor,,002,,Piano,,2009-09-16,,,SMD,,"romantic,piano,classical,rachmaninov,etude",,
Ravel_JeuxDEau_008_20110315,Ravel_JeuxDEau_008_20110315-SMD.wav,Jeux d'eau,Ravel,Maurice Ravel,JeuxDEau,,,Modern,,,,008,,Piano,,2011-03-15,,,SMD,,"modern,piano,classical,ravel",,
Ravel_ValsesNoblesEtSentimentales_003_20090916,Ravel_ValsesNoblesEtSentimentales_003_20090916-SMD.wav,Valses nobles et sentimentales,Ravel,Maurice Ravel,ValsesNoblesEtSentimentales,,,Modern,Waltz,,,003,,Piano,,2009-09-16,,,SMD,,"modern,piano,classical,ravel,waltz",,
Skryabin_Op008No8_003_20090916,Skryabin_Op008No8_003_20090916-SMD.wav,"Étude Op. 8, No. 8 in A-flat major",Skryabin,Alexander Scriabin,Op008No8,,,Romantic,Étude,,,003,,Piano,,2009-09-16,,,SMD,,"romantic,piano,classical,skryabin,etude",,
